,number_of_flowers,number_of_patches,density_of_patches,average NN distance
0,5,1,0.1,1.5867373071457582
1,5,1,0.01,5.016222923285352
2,5,1,0.001,15.780549604719884
3,5,1,0.0001,49.94812198744328
4,5,1,1e-05,155.6872928917515
5,5,1,1e-06,457.70484304064905
6,10,1,0.1,1.56176432074015
7,10,1,0.01,4.9421000092754905
8,10,1,0.001,15.620254637311058
9,10,1,0.0001,49.280528650510554
10,10,1,1e-05,154.2672706066152
11,10,1,1e-06,468.95346788901196
12,20,1,0.1,1.5595558606222137
13,20,1,0.01,4.912344298840582
14,20,1,0.001,15.562503669645581
15,20,1,0.0001,49.059114462162185
16,20,1,1e-05,153.45502672421404
17,20,1,1e-06,481.34670114081814
18,25,1,0.1,1.5559416386698237
19,25,1,0.01,4.908049995289611
20,25,1,0.001,15.54212397487469
21,25,1,0.0001,49.02855309591038
22,25,1,1e-05,152.65108233362437
23,25,1,1e-06,484.48704185360054
24,40,1,0.1,1.5483732799046475
25,40,1,0.01,4.890100890309857
26,40,1,0.001,15.447619883235605
27,40,1,0.0001,48.833365876640535
28,40,1,1e-05,152.40043248979694
29,40,1,1e-06,486.3183184658964
